server_id,customer_id,server_type,region,os_family,cpu_cores,ram_gb,disk_tb,age_days,has_gpu,is_managed
S000054,C00844,vps,bhs,linux,2,8,0.25,1531,0,0
S000055,C00039,storage,gra,linux,4,64,4.0,2156,0,0
S000056,C00588,dedicated,sbg,linux,32,4,0.1,1639,0,0
S000057,C00395,dedicated,rbx,linux,16,64,0.25,686,0,0
S000058,C00588,dedicated,bhs,linux,64,4,4.0,346,0,0
S000059,C00696,database,lim,linux,4,16,1.0,462,0,1
S000060,C00618,dedicated,gra,windows,32,4,0.25,1262,0,0
S000061,C00585,dedicated,rbx,linux,4,32,1.0,364,0,0
S000062,C00756,vps,waw,managed,16,8,0.25,523,0,1
S000063,C00631,dedicated,gra,bsd,32,16,2.0,1382,0,0
S000064,C00732,dedicated,sbg,linux,2,64,0.1,732,0,0
S000065,C00362,dedicated,bhs,linux,4,32,1.0,1498,0,0
S000066,C00182,vps,rbx,windows,8,8,0.1,2194,0,0
S000067,C00211,vps,lim,linux,16,64,1.0,194,0,0
S000068,C00550,vps,sbg,windows,2,16,4.0,1410,0,0
S000069,C00478,storage,bhs,linux,32,4,2.0,1806,0,0
S000070,C00069,dedicated,gra,linux,4,16,0.5,309,0,0
S000071,C00183,database,gra,linux,4,64,0.25,1722,0,1
S000072,C00870,storage,gra,linux,4,16,0.25,1116,0,0
S000073,C00653,storage,lim,bsd,32,32,2.0,1383,0,0
S000074,C00679,storage,lim,linux,2,32,0.1,114,0,0
S000075,C00177,vps,waw,bsd,8,16,1.0,958,0,0
S000076,C00057,dedicated,gra,linux,2,16,0.5,807,0,0
S000077,C00262,vps,sbg,windows,32,32,8.0,338,0,0
S000078,C00771,dedicated,waw,bsd,16,16,1.0,1678,0,0
S000079,C00455,vps,bhs,linux,4,8,1.0,1112,0,0
S000080,C00706,dedicated,gra,linux,4,16,4.0,1931,0,0
S000081,C00438,dedicated,lim,windows,4,64,8.0,351,0,0
S000082,C00441,database,gra,windows,4,8,1.0,1607,0,1
S000083,C00540,vps,gra,linux,16,8,2.0,1331,0,0
S000084,C00863,vps,lim,linux,8,8,1.0,1432,0,0
S000085,C00393,vps,sbg,windows,4,4,0.5,682,0,0
S000086,C00536,vps,rbx,linux,16,128,0.1,1520,0,0
S000087,C00827,gpu,sbg,linux,8,16,1.0,544,1,0
S000088,C00335,vps,eri,linux,2,32,1.0,1677,0,0
S000089,C00755,vps,gra,linux,2,32,0.1,970,0,0
S000090,C00481,vps,waw,windows,4,16,0.25,1055,0,0
S000091,C00791,vps,rbx,linux,8,64,2.0,1277,0,0
S000092,C00421,vps,gra,bsd,2,128,0.25,186,0,0
S000093,C00566,database,sbg,linux,8,32,1.0,809,0,1
S000094,C00290,vps,sbg,linux,4,32,1.0,448,0,0
S000095,C00571,vps,rbx,linux,16,16,0.5,2119,0,0
S000096,C00293,vps,rbx,linux,2,64,0.25,928,0,0
S000097,C00548,vps,bhs,windows,8,4,0.5,13,0,0
S000098,C00709,database,sbg,linux,2,32,0.5,58,0,1
S000099,C00391,vps,waw,windows,4,16,1.0,2008,0,0
S000100,C00386,vps,lim,linux,2,16,2.0,345,0,0
S000101,C00289,vps,rbx,linux,8,64,2.0,2,0,0
S000102,C00657,vps,sbg,linux,16,32,0.1,467,0,0
S000103,C00532,dedicated,sbg,windows,2,4,2.0,477,0,0
S000104,C00464,vps,sbg,linux,16,32,0.5,176,0,0
S000105,C00022,storage,gra,linux,8,128,2.0,2191,0,0
S000106,C00099,vps,rbx,linux,8,32,0.1,131,0,0
S000107,C00006,dedicated,gra,linux,8,64,1.0,1602,0,0
S000108,C00765,storage,rbx,linux,4,64,1.0,1841,0,0
S000109,C00766,vps,eri,linux,16,64,0.5,1418,0,0
S000110,C00061,dedicated,sbg,managed,16,16,8.0,292,0,1
S000111,C00041,vps,sbg,linux,16,16,0.1,1597,0,0
S000112,C00703,vps,sbg,linux,4,64,0.25,726,0,0
S000113,C00472,storage,bhs,linux,8,64,1.0,898,0,0
S000114,C00278,dedicated,sbg,windows,2,8,1.0,553,0,0
S000115,C00553,dedicated,sbg,linux,8,8,0.25,1725,0,0
S000116,C00212,vps,bhs,linux,2,16,0.5,1276,0,0
S000117,C00178,dedicated,gra,windows,4,32,0.25,341,0,0
S000118,C00330,vps,sbg,linux,8,64,2.0,896,0,0
S000119,C00806,storage,sbg,linux,32,32,1.0,1746,0,0
S000120,C00690,dedicated,waw,linux,2,4,0.25,2062,0,0
S000121,C00171,vps,eri,linux,8,8,0.5,2067,0,0
S000122,C00505,database,waw,windows,8,64,4.0,297,0,1
S000123,C00796,vps,sbg,windows,32,16,4.0,1887,0,0
S000124,C00856,vps,gra,windows,8,4,0.1,1246,0,0
S000125,C00686,vps,sbg,windows,2,8,1.0,1627,0,0
S000126,C00115,dedicated,lim,windows,2,64,0.25,849,0,0
S000127,C00216,dedicated,eri,linux,8,16,0.25,1433,0,0
S000128,C00196,vps,lim,linux,4,8,2.0,568,0,0
S000129,C00135,vps,gra,linux,32,8,4.0,1146,0,0
S000130,C00157,dedicated,bhs,bsd,32,128,0.1,497,0,0
S000131,C00284,dedicated,lim,managed,32,16,2.0,870,0,1
S000132,C00499,gpu,bhs,windows,4,16,2.0,898,1,0
S000133,C00358,dedicated,bhs,linux,16,8,2.0,1904,0,0
S000134,C00378,storage,sbg,linux,8,8,2.0,1382,0,0
S000135,C00221,vps,bhs,windows,2,64,1.0,1424,0,0
S000136,C00135,vps,rbx,linux,4,32,4.0,624,0,0
S000137,C00899,dedicated,gra,linux,4,16,0.25,957,0,0
S000138,C00539,dedicated,lim,linux,4,64,1.0,1040,0,0
S000139,C00206,vps,eri,linux,64,16,0.5,1726,0,0
S000140,C00728,vps,lim,linux,16,64,2.0,408,0,0
S000141,C00747,dedicated,rbx,managed,4,4,0.1,119,0,1
S000142,C00870,vps,gra,windows,8,16,0.5,1111,0,0
S000143,C00143,vps,rbx,linux,4,64,2.0,1789,0,0
S000144,C00575,dedicated,lim,linux,4,64,0.5,1614,0,0
S000145,C00882,vps,bhs,bsd,2,32,0.25,1783,0,0
S000146,C00726,dedicated,eri,linux,8,32,0.25,866,0,0
S000147,C00202,vps,rbx,linux,8,64,1.0,503,0,0
S000148,C00803,dedicated,sbg,linux,16,32,0.5,1452,0,0
S000149,C00379,vps,waw,linux,32,8,0.5,83,0,0
S000150,C00440,dedicated,rbx,linux,2,16,1.0,1970,0,0
S000151,C00502,vps,eri,windows,16,32,4.0,1570,0,0
S000152,C00694,vps,bhs,linux,2,32,2.0,1109,0,0
S000153,C00108,database,gra,linux,4,64,0.25,440,0,1
S000154,C00485,vps,gra,linux,8,16,4.0,551,0,0
S000155,C00735,storage,lim,managed,2,8,2.0,2191,0,1
S000156,C00493,dedicated,bhs,linux,2,8,2.0,32,0,0
S000157,C00247,vps,waw,linux,4,64,1.0,21,0,0
S000158,C00050,dedicated,waw,linux,2,4,0.1,765,0,0
S000159,C00494,vps,sbg,managed,32,64,1.0,506,0,1
S000160,C00633,vps,waw,windows,4,4,1.0,1489,0,0
S000161,C00494,storage,eri,linux,8,16,0.5,93,0,0
S000162,C00881,vps,gra,linux,64,64,0.1,1728,0,0
S000163,C00542,vps,waw,linux,8,16,0.25,1722,0,0
S000164,C00457,dedicated,rbx,windows,4,64,1.0,505,0,0
S000165,C00049,dedicated,rbx,windows,32,4,0.1,1273,0,0
S000166,C00502,storage,rbx,managed,4,16,1.0,1478,0,1
S000167,C00151,dedicated,lim,linux,2,32,2.0,1866,0,0
S000168,C00652,dedicated,gra,linux,8,64,0.5,1611,0,0
S000169,C00145,database,sbg,linux,4,4,0.1,2117,0,1
S000170,C00816,database,bhs,windows,16,16,0.25,256,0,1
S000171,C00271,vps,gra,linux,2,32,0.5,1342,0,0
S000172,C00390,vps,waw,linux,8,128,2.0,1700,0,0
S000173,C00130,storage,eri,windows,16,64,1.0,510,0,0
S000174,C00189,dedicated,gra,linux,64,64,2.0,481,0,0
S000175,C00829,vps,gra,windows,2,16,8.0,204,0,0
S000176,C00255,vps,eri,linux,4,16,0.25,2168,0,0
S000177,C00461,database,gra,linux,32,64,1.0,1905,0,1
S000178,C00883,database,gra,linux,8,64,0.5,267,0,1
S000179,C00561,vps,eri,linux,2,64,0.5,540,0,0
S000180,C00037,dedicated,lim,windows,2,64,0.5,1008,0,0
S000181,C00321,vps,bhs,linux,16,64,0.5,1965,0,0
S000182,C00348,dedicated,sbg,linux,8,4,1.0,1816,0,0
S000183,C00248,gpu,lim,linux,8,8,1.0,1932,1,0
S000184,C00217,dedicated,bhs,linux,32,128,0.5,1822,0,0
S000185,C00452,dedicated,bhs,managed,4,16,0.1,1381,0,1
S000186,C00339,vps,lim,windows,2,8,1.0,640,0,0
S000187,C00264,vps,bhs,linux,8,16,2.0,1329,0,0
S000188,C00371,storage,sbg,linux,32,32,1.0,1087,0,0
S000189,C00309,dedicated,rbx,linux,4,64,0.1,2091,0,0
S000190,C00205,storage,sbg,linux,16,64,0.5,987,0,0
S000191,C00407,dedicated,sbg,linux,2,4,2.0,1663,0,0
S000192,C00848,dedicated,rbx,linux,2,16,2.0,382,0,0
S000193,C00455,vps,sbg,linux,32,4,0.1,1503,0,0
S000194,C00537,dedicated,waw,windows,2,64,0.5,998,0,0
S000195,C00885,vps,rbx,linux,2,8,0.5,959,0,0
S000196,C00552,dedicated,gra,windows,16,32,1.0,1660,0,0
S000197,C00200,dedicated,rbx,managed,4,32,0.25,1065,0,1
S000198,C00358,storage,rbx,linux,4,32,1.0,130,0,0
S000199,C00439,dedicated,waw,linux,16,16,4.0,856,0,0
S000200,C00427,vps,sbg,windows,2,32,0.5,2119,0,0
S000201,C00134,storage,rbx,linux,8,32,0.5,2081,0,0
S000202,C00095,dedicated,waw,linux,4,4,0.1,1351,0,0
S000203,C00314,storage,gra,linux,2,16,0.1,1404,0,0
S000204,C00822,dedicated,gra,windows,16,16,4.0,579,0,0
S000205,C00645,vps,lim,windows,4,16,8.0,1717,0,0
S000206,C00757,dedicated,sbg,windows,32,32,0.1,1319,0,0
S000207,C00157,storage,waw,linux,32,8,4.0,82,0,0
S000208,C00372,vps,lim,linux,16,64,0.25,2088,0,0
S000209,C00523,vps,eri,windows,4,8,1.0,1875,0,0
S000210,C00390,database,gra,windows,4,32,1.0,180,0,1
S000211,C00375,dedicated,waw,linux,32,8,0.5,919,0,0
S000212,C00323,gpu,bhs,managed,8,16,1.0,1633,1,1
S000213,C00046,vps,rbx,windows,16,16,1.0,1622,0,0
S000214,C00771,database,eri,linux,16,32,0.25,368,0,1
S000215,C00839,database,rbx,linux,4,8,8.0,89,0,1
S000216,C00072,database,lim,linux,2,64,0.25,2166,0,1
S000217,C00372,dedicated,bhs,windows,8,32,0.1,1966,0,0
S000218,C00466,storage,sbg,linux,8,128,4.0,1624,0,0
S000219,C00705,storage,gra,linux,4,32,0.5,1452,0,0
S000220,C00888,vps,lim,linux,8,32,0.5,1510,0,0
S000221,C00374,dedicated,sbg,windows,16,64,0.25,1007,0,0
S000222,C00674,database,gra,windows,4,8,0.1,1505,0,1
S000223,C00843,dedicated,gra,windows,4,32,0.25,668,0,0
S000224,C00747,vps,waw,linux,16,16,0.5,185,0,0
S000225,C00261,vps,gra,linux,16,32,1.0,684,0,0
S000226,C00735,dedicated,bhs,linux,64,4,0.5,647,0,0
S000227,C00371,storage,bhs,linux,2,16,2.0,668,0,0
S000228,C00015,dedicated,rbx,linux,32,32,4.0,1036,0,0
S000229,C00682,vps,sbg,managed,16,16,0.5,289,0,1
S000230,C00751,gpu,rbx,linux,16,8,4.0,897,1,0
S000231,C00309,vps,eri,linux,4,16,2.0,1020,0,0
S000232,C00405,vps,lim,linux,2,64,4.0,414,0,0
S000233,C00327,dedicated,rbx,windows,8,8,1.0,998,0,0
S000234,C00105,gpu,sbg,linux,4,16,0.25,1483,1,0
S000235,C00895,database,sbg,linux,4,256,0.25,906,0,1
S000236,C00020,dedicated,eri,linux,32,64,4.0,6,0,0
S000237,C00500,vps,rbx,linux,2,4,1.0,1547,0,0
S000238,C00013,vps,sbg,linux,32,16,4.0,1273,0,0
S000239,C00620,vps,eri,linux,8,4,2.0,924,0,0
S000240,C00810,vps,gra,windows,16,128,0.25,51,0,0
S000241,C00579,vps,sbg,linux,4,16,0.5,196,0,0
S000242,C00545,vps,gra,linux,8,16,8.0,175,0,0
S000243,C00745,dedicated,bhs,linux,8,8,0.1,1874,0,0
S000244,C00876,vps,rbx,linux,32,16,1.0,680,0,0
S000245,C00775,gpu,eri,linux,2,8,8.0,935,1,0
S000246,C00208,dedicated,rbx,linux,4,64,0.1,1531,0,0
S000247,C00506,vps,gra,managed,32,16,0.25,1441,0,1
S000248,C00736,dedicated,lim,managed,2,16,1.0,142,0,1
S000249,C00265,gpu,lim,linux,8,64,2.0,2045,1,0
S000250,C00607,vps,bhs,linux,2,8,1.0,583,0,0
S000251,C00020,vps,waw,windows,2,8,0.1,1688,0,0
S000252,C00789,dedicated,rbx,windows,8,16,0.25,1830,0,0
S000253,C00552,vps,bhs,linux,8,32,0.5,1185,0,0
S000254,C00668,database,gra,linux,8,4,0.5,357,0,1
S000255,C00742,vps,gra,linux,8,64,0.25,1199,0,0
S000256,C00196,vps,eri,managed,16,16,2.0,538,0,1
S000257,C00405,storage,waw,linux,64,16,0.1,1869,0,0
S000258,C00772,vps,rbx,linux,4,16,2.0,1660,0,0
S000259,C00148,vps,gra,linux,4,4,4.0,1812,0,0
S000260,C00740,dedicated,eri,linux,4,8,1.0,1822,0,0
S000261,C00259,dedicated,gra,windows,16,32,1.0,393,0,0
S000262,C00517,vps,rbx,linux,4,16,0.25,67,0,0
S000263,C00458,gpu,gra,managed,16,16,1.0,1378,1,1
S000264,C00617,database,gra,windows,8,128,0.5,1350,0,1
S000265,C00753,gpu,rbx,linux,8,4,0.25,1904,1,0
S000266,C00314,vps,eri,windows,16,16,1.0,1403,0,0
S000267,C00154,dedicated,rbx,windows,8,16,0.1,1767,0,0
S000268,C00380,vps,sbg,linux,8,4,0.25,767,0,0
S000269,C00550,database,waw,linux,4,128,1.0,275,0,1
S000270,C00675,storage,sbg,windows,8,128,0.5,84,0,0
S000271,C00678,vps,waw,linux,4,8,0.25,959,0,0
S000272,C00305,vps,bhs,linux,16,128,0.1,5,0,0
S000273,C00842,storage,bhs,linux,4,4,0.25,1140,0,0
S000274,C00074,database,bhs,linux,2,256,1.0,882,0,1
S000275,C00105,storage,waw,linux,4,64,1.0,567,0,0
S000276,C00022,vps,bhs,linux,8,8,0.25,1300,0,0
S000277,C00833,dedicated,waw,linux,32,32,1.0,1495,0,0
S000278,C00162,vps,gra,linux,4,64,8.0,88,0,0
S000279,C00541,dedicated,bhs,windows,4,8,1.0,1048,0,0
S000280,C00731,database,waw,linux,4,16,1.0,2067,0,1
S000281,C00690,vps,rbx,bsd,64,32,1.0,655,0,0
S000282,C00853,vps,lim,bsd,16,8,2.0,1718,0,0
S000283,C00048,vps,rbx,linux,2,4,4.0,741,0,0
S000284,C00366,vps,rbx,linux,8,8,0.1,598,0,0
S000285,C00455,vps,lim,linux,16,32,0.25,1884,0,0
S000286,C00626,dedicated,rbx,windows,16,16,0.1,784,0,0
S000287,C00560,gpu,rbx,linux,8,16,2.0,1905,1,0
S000288,C00503,vps,rbx,linux,16,8,0.1,1440,0,0
S000289,C00276,vps,lim,linux,8,8,4.0,1787,0,0
S000290,C00095,dedicated,sbg,linux,4,32,0.1,1792,0,0
S000291,C00388,vps,bhs,windows,2,4,1.0,2010,0,0
S000292,C00233,vps,waw,windows,4,32,0.25,1221,0,0
S000293,C00498,gpu,bhs,linux,2,16,0.5,2095,1,0
S000294,C00717,dedicated,eri,linux,4,32,0.5,132,0,0
S000295,C00497,database,waw,linux,16,16,2.0,1082,0,1
S000296,C00524,vps,rbx,linux,16,64,0.5,873,0,0
S000297,C00037,dedicated,eri,linux,2,4,0.5,213,0,0
S000298,C00580,dedicated,sbg,linux,2,64,2.0,1921,0,0
S000299,C00395,dedicated,gra,windows,8,8,4.0,1760,0,0
S000300,C00111,gpu,rbx,linux,8,4,2.0,1647,1,0
S000301,C00192,dedicated,bhs,windows,2,16,2.0,1393,0,0
S000302,C00702,vps,gra,linux,16,8,0.5,1324,0,0
S000303,C00825,vps,sbg,linux,4,16,4.0,837,0,0
S000304,C00456,gpu,rbx,linux,2,64,0.5,1503,1,0
S000305,C00878,vps,sbg,linux,16,64,4.0,2146,0,0
S000306,C00162,storage,gra,linux,8,32,2.0,553,0,0
S000307,C00269,dedicated,lim,managed,4,128,0.25,745,0,1
S000308,C00837,gpu,rbx,windows,16,16,0.1,241,1,0
S000309,C00157,dedicated,gra,windows,32,4,2.0,1996,0,0
S000310,C00593,dedicated,sbg,linux,2,64,1.0,1166,0,0
S000311,C00197,database,sbg,linux,8,8,1.0,1304,0,1
S000312,C00298,dedicated,bhs,linux,4,8,8.0,586,0,0
S000313,C00429,dedicated,sbg,bsd,8,4,1.0,81,0,0
S000314,C00323,vps,gra,windows,4,16,0.5,1770,0,0
S000315,C00787,dedicated,lim,linux,4,16,1.0,1892,0,0
S000316,C00875,dedicated,sbg,managed,4,8,0.1,751,0,1
S000317,C00450,vps,gra,linux,16,32,1.0,1677,0,0
S000318,C00472,storage,waw,linux,4,32,4.0,1258,0,0
S000319,C00049,storage,bhs,linux,32,128,0.1,1413,0,0
S000320,C00210,dedicated,bhs,linux,4,4,2.0,380,0,0
S000321,C00035,vps,sbg,managed,16,8,2.0,1352,0,1
S000322,C00770,storage,rbx,windows,8,32,0.1,355,0,0
S000323,C00204,dedicated,sbg,linux,4,4,2.0,482,0,0
S000324,C00306,dedicated,gra,linux,16,16,2.0,785,0,0
S000325,C00758,dedicated,rbx,linux,16,32,0.5,472,0,0
S000326,C00641,vps,eri,linux,8,32,0.25,2000,0,0
S000327,C00559,dedicated,bhs,linux,4,8,0.5,65,0,0
S000328,C00034,storage,rbx,linux,8,32,1.0,1988,0,0
S000329,C00506,database,rbx,linux,8,32,0.25,339,0,1
S000330,C00504,dedicated,waw,linux,4,64,0.5,1914,0,0
S000331,C00287,vps,rbx,linux,16,8,4.0,740,0,0
S000332,C00670,dedicated,gra,bsd,4,32,2.0,2026,0,0
S000333,C00836,dedicated,gra,linux,8,32,2.0,1190,0,0
S000334,C00233,storage,waw,linux,8,8,4.0,1077,0,0
S000335,C00298,vps,bhs,linux,64,32,0.1,288,0,0
S000336,C00290,database,gra,linux,4,32,0.25,954,0,1
S000337,C00751,vps,gra,linux,4,8,1.0,1227,0,0
S000338,C00069,dedicated,bhs,linux,2,16,0.5,2163,0,0
S000339,C00806,vps,sbg,windows,16,16,0.1,580,0,0
S000340,C00697,dedicated,bhs,windows,8,32,2.0,183,0,0
S000341,C00435,gpu,gra,linux,4,4,0.1,559,1,0
S000342,C00525,vps,waw,linux,4,16,1.0,535,0,0
S000343,C00804,vps,eri,managed,32,8,1.0,2085,0,1
S000344,C00692,vps,bhs,linux,8,32,1.0,331,0,0
S000345,C00249,vps,gra,linux,8,32,0.5,2183,0,0
S000346,C00045,storage,bhs,linux,2,16,0.1,249,0,0
S000347,C00592,dedicated,rbx,linux,2,16,4.0,1785,0,0
S000348,C00131,dedicated,gra,linux,2,8,4.0,912,0,0
S000349,C00079,dedicated,rbx,linux,4,8,0.5,120,0,0
S000350,C00884,vps,lim,linux,8,32,0.1,1350,0,0
S000351,C00426,vps,rbx,linux,4,8,1.0,1603,0,0
S000352,C00585,dedicated,lim,linux,4,32,0.5,1845,0,0
S000353,C00195,vps,sbg,windows,2,32,0.25,393,0,0
S000354,C00091,vps,sbg,linux,4,64,0.25,1358,0,0
S000355,C00056,dedicated,gra,linux,2,8,0.25,1252,0,0
S000356,C00318,database,bhs,linux,2,16,0.5,974,0,1
S000357,C00003,vps,gra,linux,2,4,0.5,1966,0,0
S000358,C00378,vps,sbg,linux,16,64,2.0,931,0,0
S000359,C00292,vps,rbx,linux,32,32,0.5,837,0,0
S000360,C00474,dedicated,rbx,linux,8,32,0.5,1156,0,0
S000361,C00530,gpu,sbg,linux,2,32,0.25,2043,1,0
S000362,C00277,vps,gra,windows,64,8,2.0,1908,0,0
S000363,C00409,vps,rbx,windows,64,32,0.1,1558,0,0
S000364,C00070,database,eri,linux,8,64,0.25,178,0,1
S000365,C00271,storage,gra,linux,2,4,1.0,662,0,0
S000366,C00880,storage,rbx,windows,16,128,1.0,34,0,0
S000367,C00892,dedicated,rbx,linux,64,64,2.0,209,0,0
S000368,C00437,dedicated,rbx,bsd,16,128,0.5,1829,0,0
S000369,C00845,vps,bhs,linux,8,64,0.5,1793,0,0
S000370,C00451,vps,rbx,linux,8,8,0.5,226,0,0
S000371,C00113,vps,sbg,windows,64,32,1.0,1008,0,0
S000372,C00781,storage,bhs,linux,2,8,0.5,615,0,0
S000373,C00373,dedicated,rbx,linux,2,32,0.5,160,0,0
S000374,C00551,dedicated,eri,linux,16,8,0.1,839,0,0
S000375,C00583,vps,eri,linux,2,64,4.0,227,0,0
S000376,C00277,dedicated,gra,windows,4,8,0.1,1619,0,0
S000377,C00660,vps,rbx,windows,4,8,0.25,2127,0,0
S000378,C00451,storage,rbx,linux,4,4,4.0,930,0,0
S000379,C00329,vps,gra,linux,2,32,2.0,535,0,0
S000380,C00268,storage,sbg,linux,8,8,1.0,1099,0,0
S000381,C00671,vps,sbg,linux,4,8,1.0,2126,0,0
S000382,C00224,vps,sbg,linux,8,8,0.1,351,0,0
S000383,C00111,dedicated,rbx,linux,4,8,2.0,1498,0,0
S000384,C00793,storage,rbx,windows,32,128,0.25,205,0,0
S000385,C00298,vps,eri,linux,8,16,4.0,661,0,0
S000386,C00576,dedicated,eri,linux,64,8,0.25,967,0,0
S000387,C00644,vps,gra,linux,4,8,1.0,844,0,0
S000388,C00754,gpu,bhs,linux,2,4,1.0,393,1,0
S000389,C00563,dedicated,sbg,linux,16,16,0.25,1709,0,0
S000390,C00637,storage,bhs,linux,16,4,0.5,1481,0,0
S000391,C00753,database,bhs,linux,2,4,2.0,958,0,1
S000392,C00849,gpu,lim,managed,8,4,0.25,921,1,1
S000393,C00042,vps,gra,linux,8,8,8.0,165,0,0
S000394,C00668,vps,rbx,linux,2,32,0.5,1453,0,0
S000395,C00156,database,eri,windows,8,4,1.0,506,0,1
S000396,C00802,vps,gra,linux,4,32,1.0,663,0,0
S000397,C00043,dedicated,gra,managed,2,32,0.5,1892,0,1
S000398,C00222,dedicated,waw,linux,32,64,1.0,1413,0,0
S000399,C00172,storage,waw,linux,8,8,2.0,1531,0,0
S000400,C00543,vps,bhs,linux,16,64,1.0,583,0,0
S000401,C00003,dedicated,waw,linux,16,64,1.0,1102,0,0
S000402,C00015,vps,bhs,windows,64,128,1.0,31,0,0
S000403,C00453,storage,gra,linux,8,64,0.5,540,0,0
S000404,C00874,vps,bhs,windows,4,8,0.1,1760,0,0
S000405,C00475,gpu,waw,windows,4,128,0.25,1044,1,0
S000406,C00401,storage,lim,windows,8,64,1.0,1397,0,0
S000407,C00592,database,rbx,windows,8,8,4.0,1735,0,1
S000408,C00496,gpu,gra,linux,16,8,0.1,2061,1,0
S000409,C00346,dedicated,waw,linux,4,128,1.0,180,0,0
S000410,C00529,vps,rbx,windows,2,8,0.25,1278,0,0
S000411,C00002,dedicated,gra,linux,32,32,1.0,2188,0,0
S000412,C00220,database,lim,linux,16,16,2.0,440,0,1
S000413,C00606,dedicated,sbg,linux,4,32,2.0,1891,0,0
S000414,C00307,vps,rbx,linux,16,4,2.0,1276,0,0
S000415,C00048,gpu,gra,windows,8,32,2.0,700,1,0
S000416,C00111,dedicated,gra,linux,16,16,0.1,1723,0,0
S000417,C00779,gpu,waw,linux,4,64,1.0,1915,1,0
S000418,C00296,dedicated,sbg,managed,8,8,0.25,314,0,1
S000419,C00020,vps,gra,linux,2,4,4.0,1500,0,0
S000420,C00655,vps,rbx,windows,2,8,2.0,2060,0,0
S000421,C00477,vps,gra,linux,16,4,0.1,1466,0,0
S000422,C00406,vps,gra,linux,4,256,0.25,1204,0,0
S000423,C00805,database,rbx,linux,2,8,0.5,308,0,1
